donor_id,auroc,auprc,balanced_accuracy,precision,recall,f1,brier,ece,n_lesions,artifact_dir
P9,,,1.0,1.0,1.0,1.0,0.2879092395305633,0.5365717709064484,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_01/seed_042
P14,,,1.0,1.0,1.0,1.0,0.2880178689956665,0.536672979593277,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_01/seed_042
P19,,,1.0,1.0,1.0,1.0,0.2880116999149322,0.5366672575473785,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_01/seed_042
P8,,,1.0,1.0,1.0,1.0,0.0218607429414987,0.1478537917137146,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_00/seed_042
P12,,,1.0,1.0,1.0,1.0,1.9214551230106736e-06,0.0013861656188964,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_00/seed_042
P17,,,0.0,0.0,0.0,0.0,0.9993666410446168,0.9996832609176636,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_00/seed_042
P23,,,0.5,0.0,0.0,0.0,0.5031569004058838,0.5448186732828617,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_00/seed_042
P5,,,0.0,0.0,0.0,0.0,0.7424810528755188,0.8616734147071838,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_02/seed_042
P16,,,1.0,1.0,1.0,1.0,0.0191342607140541,0.1383266448974609,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_02/seed_042
P21,,,1.0,1.0,1.0,1.0,0.0191342029720544,0.1383264064788818,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/lesion_set_transformer/fold_02/seed_042
P3,,,1.0,1.0,1.0,1.0,0.2815016508102417,0.5305673182010651,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_01/seed_042
P9,,,1.0,1.0,1.0,1.0,0.2812115252017975,0.5302938520908356,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_01/seed_042
P14,,,1.0,1.0,1.0,1.0,0.281408429145813,0.5304794609546661,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_01/seed_042
P19,,,1.0,1.0,1.0,1.0,0.2813943922519684,0.5304661989212036,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_01/seed_042
P8,,,0.0,0.0,0.0,0.0,0.9945701360702516,0.997281399788335,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_00/seed_042
P12,,,1.0,1.0,1.0,1.0,4.600920533448516e-09,6.783008575439453e-05,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_00/seed_042
P17,,,0.0,0.0,0.0,0.0,0.9653847813606262,0.9825399518013,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_00/seed_042
P23,,,0.0,0.0,0.0,0.0,0.999872088432312,0.999936044216156,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_00/seed_042
P5,,,0.0,0.0,0.0,0.0,0.8009912371635437,0.8949811458587646,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_02/seed_042
